showid,moviename,type,rating,year,duration,description
s57,Naruto Shippuden the Movie Blood Prison,Movie,9,2011,102 min,Mistakenly accused of an attack on the Fourth Raikage ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed
s58,Naruto Shipp»den the Movie Bonds,Movie,6,2008,93 min,When strange ninjas ambush the village of Konohagakure its up to adolescent ninja Naruto and his longmissing pal Sasuke to save the planet
s59,Naruto Shipp»den the Movie The Will of Fire,Movie,6,2009,96 min,When four out of five ninja villages are destroyed the leader of the one spared tries to find the true culprit and protect his land
s60,Naruto Shippuden The Movie,Movie,8,2007,95 min,The adventures of adolescent ninja Naruto Uzumaki continue as hes tasked with protecting a priestess from a demon  but to do so he must die
s61,Naruto Shippuden The Movie The Lost Tower,Movie,8,2010,85 min,When Naruto is sent to recover a missing nin the rogue manages to send him 20 years into the past where he unites with his father to battle evil
s62,Naruto the Movie 2 Legend of the Stone of Gelel,Movie,5,2005,97 min,While on a mission to return a missing pet Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin
s63,Naruto the Movie 3 Guardians of the Crescent Moon Kingdom,Movie,4,2006,95 min,Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son Hikaru to the Crescent Moon kingdom
s64,Naruto the Movie Ninja Clash in the Land of Snow,Movie,9,2004,83 min,Naruto Sasuke and Sakura learn theyll be protecting an actress from being hurt while making her next film but it turns out shes a princess
s65,Nightbooks,Movie,6,2021,103 min,Scary story fan Alex must tell a spinetingling tale every night  or stay trapped with his new friend in a wicked witchs magical apartment forever
s66,Numberblocks,TV Show,7,2021,6 Seasons,In a place called Numberland math adds up to tons of fun when a group of cheerful blocks work play and sing together
s67,Raja Rasoi Aur Anya Kahaniyan,TV Show,4,2014,1 Season,Explore the history and flavors of regional Indian cuisine from traditional Kashmiri feasts to the vegetarian dishes of Gujarat
s68,Saved by the Bell,TV Show,6,1994,9 Seasons,From middle school to college best friends Zack Kelly Slater Jessie Screech and Lisa take on the highs and lows of life together in this hit series
s69,Schumacher,Movie,9,2021,113 min,Through exclusive interviews and archival footage this documentary traces an intimate portrait of seventime Formula 1 champion Michael Schumacher
s70,Stories by Rabindranath Tagore,TV Show,8,2015,1 Season,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early20thcentury Bengal
s71,Too Hot To Handle Latino,TV Show,6,2021,1 Season,On this reality show singles from Latin America and Spain are challenged to give up sex But here abstinence comes with a silver lining US100000
s72,A StoryBots Space Adventure,Movie,9,2021,13 min,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids questions about space
s73,Jack Whitehall Travels with My Father,TV Show,7,2021,5 Seasons,Jovial comic Jack Whitehall invites his stuffy father Michael to travel with him through Southeast Asia in an attempt to strengthen their bond
s74,King of Boys,Movie,4,2018,182 min,When a powerful businesswomans political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything
s75,The Worlds Most Amazing Vacation Rentals,TV Show,7,2021,2 Seasons,With an eye for every budget three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series
s76,You vs Wild Out Cold,Movie,4,2021,106 min,After a plane crash leaves Bear with amnesia he must make choices to save the missing pilot and survive in this highstakes interactive adventure
s77,Yowamushi Pedal,TV Show,8,2013,1 Season,A timid animeloving teen gets drawn into a school cycling club where his new friends help him face tough challenges to develop his racing talent
s78,Little Singham  Black Shadow,Movie,4,2021,48 min,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaals new evil plans Can his inner strength help him defeat the enemy?
s79,Tughlaq Durbar,Movie,7,2020,145 min,A budding politician has devious plans to rise in the ranks  until an unexpected new presence begins to interfere with his every crooked move
s80,Tughlaq Durbar (Telugu),Movie,8,2021,145 min,A budding politician has devious plans to rise in the ranks  until an unexpected new presence begins to interfere with his every crooked move
s81,Firedrake the Silver Dragon,Movie,6,2021,93 min,When his home is threatened by humans a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free
s82,Kate,Movie,9,2021,106 min,Slipped a fatal poison on her final job a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge
s83,Lucifer,TV Show,4,2021,6 Seasons,Bored with being the Lord of Hell the devil relocates to Los Angeles where he opens a nightclub and forms a connection with a homicide detective
s84,Metal Shop Masters,TV Show,9,2021,1 Season,On this competition show a group of metal artists torch cut and weld epic badass creations from hardened steel Only one will win a 50000 prize
s85,Omo Ghetto the Saga,Movie,8,2020,147 min,Twins are reunited as a goodhearted female gangster and her uptight rich sister take on family crime cops and all of the trouble that follows them
s86,Pokmon Master Journeys The Series,TV Show,4,2021,1 Season,As Ash battles his way through the World Coronation Series Goh continues his quest to catch every Pokmon Together theyre on a journey to adventure
s87,Prey,Movie,4,2021,87 min,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter
s88,Titipo Titipo,TV Show,6,2019,2 Seasons,Titipo the train is out to prove that hes got what it takes to help the folks of Train Village ride the rails safely and reliably
s89,Blood Brothers Malcolm X & Muhammad Ali,Movie,4,2021,96 min,From a chance meeting to a tragic fallout Malcolm X and Muhammad Alis extraordinary bond cracks under the weight of distrust and shifting ideals
s90,Mighty Raju,TV Show,4,2017,4 Seasons,Born with superhuman abilities young Raju wants to use his powers to make the world a better place  but that will mean facing plenty of challenges
s91,Paradise Hills,Movie,9,2019,95 min,Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies Thats bad enough but its real purpose is even worse
s92,The Women and the Murderer,Movie,5,2021,92 min,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women a police chief and a victims mother
s93,Into the Night,TV Show,9,2021,2 Seasons,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below
s94,JJ+E,Movie,4,2021,91 min,Elisabeth and JohnJohn live in the same city but they inhabit different worlds Can a passionate first love break through class and cultural barriers?
s95,Show Dogs,Movie,7,2018,90 min,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale
s96,The Circle,TV Show,7,2021,3 Seasons,Status and strategy collide in this social experiment and competition show where online players flirt befriend and catfish their way toward 100000
s97,If I Leave Here Tomorrow A Film About Lynyrd Skynyrd,Movie,4,2018,97 min,Using interviews and archival footage this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant
s98,Kid Cosmic,TV Show,4,2021,2 Seasons,A boys superhero dreams come true when he finds five powerful cosmic stones But saving the day is harder than he imagined  and he cant do it alone
s99,Octonauts Above & Beyond,TV Show,7,2021,1 Season,The Octonauts expand their exploration beyond the sea  and onto land With new rides and new friends theyll protect any habitats and animals at risk
s100,On the Verge,TV Show,5,2021,1 Season,Four women  a chef a single mom an heiress and a job seeker  dig into love and work with a generous side of midlife crises in prepandemic LA
s101,Tobot Galaxy Detectives,TV Show,8,2019,2 Seasons,An intergalactic device transforms toy cars into robots the Tobots Working with friends to solve mysteries they protect the world from evil
s102,Untold Breaking Point,Movie,4,2021,80 min,Under pressure to continue a winning tradition in American tennis Mardy Fish faced mental health challenges that changed his life on and off the court
s103,Countdown Inspiration4 Mission to Space,TV Show,6,2021,1 Season,From training to launch to landing this allaccess docuseries rides along with the Inspiration4 crew on the first allcivilian orbital space mission
s104,Shadow Parties,Movie,8,2020,117 min,A family faces destruction in a longrunning conflict between communities that pits relatives against each other amid attacks and reprisals
s105,Tayo the Little Bus,TV Show,8,2016,2 Seasons,As they learn their routes around the busy city Tayo and his little bus friends discover new sights and go on exciting adventures every day
s106,Angamaly Diaries,Movie,7,2017,128 min,After growing up amidst the gang wars of his hometown Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law
s107,Bunkd,TV Show,6,2021,5 Seasons,The Ross siblings of Disneys hit series Jessie spend a summer full of fun and adventure at Maines Camp Kikiwaka where their parents first met
s108,A Champion Heart,Movie,8,2018,90 min,When a grieving teen must work off her debt to a ranch she cares for a wounded horse that teaches her more about healing than she expected
s109,Dive Club,TV Show,6,2021,1 Season,On the shores of Cape Mercy a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing
s110,La casa de papel,TV Show,7,2021,5 Seasons,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan
s111,Money Heist From Tokyo to Berlin,TV Show,4,2021,1 Season,The filmmakers and actors behind Money Heist characters like Tokyo and the Professor talk about the emotional artistic process of filming the series
s112,Sharkdog,TV Show,9,2021,1 Season,Half shark half dog with a big heart and a belly full of fish sticks Together Sharkdog and his human pal Max can take on any silly or messy adventure
s113,Worth,Movie,7,2021,119 min,In the wake of the Sept 11 attacks a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost Based on real events
s114,Afterlife of the Party,Movie,5,2021,110 min,Cassie lives to party until she dies in a freak accident Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings
s115,Anjaam,Movie,6,1994,143 min,A wealthy industrialists dangerous obsession with a flight attendant destroys her world until she takes matters into her own hands to exact revenge
s116,Bright Star,Movie,4,2009,119 min,This drama details the passionate threeyear romance between Romantic poet John Keats  who died tragically at age 25  and his great love and muse
s117,Dhanak,Movie,9,2015,114 min,A movieloving 10yearold and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation
s118,Final Account,Movie,6,2021,94 min,This documentary stitches together neverbeforeseen interviews with the last living generation of people who participated in Hitlers Third Reich
s119,Gurgaon,Movie,9,2017,106 min,When the daughter of a wealthy family returns from college she gets a frosty welcome from her brother who has problems  and plans  of his own
s120,Here and There,Movie,7,2020,99 min,After meeting through a heated exchange on social media two people with different backgrounds begin an online romance in the midst of a pandemic
s121,Heroes of Goo Jit Zu,TV Show,5,2021,1 Season,After a meteor crash a group of zoo animals transforms into squishy gooey and stretchy superheroes with special powers and soon takes on evildoers
s122,Hotel Del Luna,TV Show,9,2019,1 Season,When hes invited to manage a hotel for dead souls an elite hotelier gets to know the establishments ancient owner and her strange world
s123,In the Cut,Movie,8,2003,118 min,After embarking on an affair with the cop probing the murder of a young woman an insular schoolteacher suspects her lover was involved in the crime
s124,Luv Kushh,TV Show,9,2012,1 Season,Based on the last book of the epic Ramayana this series follows the endeavors and adventures of Lord Ramas twin sons through their childhood
s125,Pororo  The Little Penguin,TV Show,5,2013,3 Seasons,On a tiny island Pororo the penguin has fun adventures with his friends Eddy the fox Loopy the beaver Poby the polar bear and Crong the dinosaur
s126,QForce,TV Show,7,2021,1 Season,A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them Today West Hollywood¦ tomorrow the world
s127,Shikara,Movie,9,2020,115 min,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp
s128,A Cinderella Story,Movie,7,2004,95 min,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmothers diner Can her lost cell phone bring them together?
s129,Agatha Christies Crooked House,Movie,7,2017,115 min,When a detective investigates the death of his exlovers grandfather he uncovers secrets about the tycoons manipulative family
s130,An Unfinished Life,Movie,4,2005,108 min,A grieving widow and her daughter move in with her estranged fatherinlaw in Wyoming where time allows them to heal and forgive
s131,Barbie Big City Big Dreams,Movie,5,2021,63 min,At a summer performing arts program in New York City Barbie from Malibu meets Barbie from Brooklyn and the two become fast friends
s132,Blade Runner The Final Cut,Movie,4,1982,117 min,In a smogchoked dystopian Los Angeles blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped replicants
s133,Brave Animated Series,TV Show,6,2021,1 Season,A group of superheroes sets out to rid the world of evil  only to realize they may not be standing on the side of justice Based on a popular comic
s134,Chappie,Movie,6,2015,121 min,In a futuristic society where an indestructible robot police force keeps crime at bay a lone droid evolves to the next level of artificial intelligence
